id,group,label_left,label_right,tech_titans,stagnation_nation,asleep_at_the_wheel,cost_of_safety,leading_lagging,us_topia
1,Global Power Shifts,Status quo,Revised,93,44,,,,69
2,Global Power Shifts,EU power increases,EU power reduces,15,53,,,,4
3,Global response to the fight for raw materials,Conflict,Cooperation,31,50,,,,95
4,Quality of EU innovation and infrastructure,Weak,Strong,62,7,,,,60
5,Socialisation,Online,Offline,32,19,,,,24
6,Socialisation,Rare,Daily,61,54,,,,88
7,Socialisation,Remote working,In-person working,21,9,,,,31
8,Adoption of sustainable behaviours,Rare,Widespread,65,19,,,,81
9,Adoption of sustainable behaviours,Driven by government,Driven by self,43,95,,,,10
10,Normalisation of VR/AR,Rare,Mass adoption,37,50,,,,95
11,Development of battery technology,Incremental,Transformational,33,15,,,,95
